A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/6/2016 4:00,2016,1,6,4,139,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 5:00,2016,1,6,5,150,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 6:00,2016,1,6,6,161,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 7:00,2016,1,6,7,170,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 8:00,2016,1,6,8,173,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 9:00,2016,1,6,9,174,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 10:00,2016,1,6,10,177,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 11:00,2016,1,6,11,163,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 12:00,2016,1,6,12,154,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 13:00,2016,1,6,13,221,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 14:00,2016,1,6,14,211,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 15:00,2016,1,6,15,212,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 16:00,2016,1,6,16,217,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 17:00,2016,1,6,17,156,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 18:00,2016,1,6,18,215,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 19:00,2016,1,6,19,214,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 20:00,2016,1,6,20,196,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 21:00,2016,1,6,21,184,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 22:00,2016,1,6,22,179,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2016 23:00,2016,1,6,23,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 0:00,2016,1,7,0,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 1:00,2016,1,7,1,92,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 2:00,2016,1,7,2,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 3:00,2016,1,7,3,55,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 4:00,2016,1,7,4,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 5:00,2016,1,7,5,47,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 6:00,2016,1,7,6,54,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 7:00,2016,1,7,7,46,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 8:00,2016,1,7,8,44,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 9:00,2016,1,7,9,63,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 10:00,2016,1,7,10,68,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 11:00,2016,1,7,11,71,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 12:00,2016,1,7,12,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 13:00,2016,1,7,13,65,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 14:00,2016,1,7,14,71,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 15:00,2016,1,7,15,71,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 16:00,2016,1,7,16,85,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 17:00,2016,1,7,17,89,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 18:00,2016,1,7,18,92,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 19:00,2016,1,7,19,99,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 20:00,2016,1,7,20,105,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 21:00,2016,1,7,21,111,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 22:00,2016,1,7,22,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2016 23:00,2016,1,7,23,100,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 0:00,2016,1,8,0,100,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 1:00,2016,1,8,1,72,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 2:00,2016,1,8,2,66,µg/m³,1 Hr,Valid
